Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771417808799,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.203125,35.99467086791992,36.2138786315918,35.916358947753906,38.11868667602539,38.2086181640625,0,100,0,0,NaN,0,0,0,0,0,NaN,6.448476314544678,19327352832,0,11288051712,0
204,1771417808799,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,34.203125,35.99467086791992,36.2138786315918,35.916358947753906,38.11868667602539,38.2086181640625,100,0,NaN,NaN,0,0,NaN,100,NaN,NaN,NaN,6.448476314544678,19327352832,0,11288051712,0
204,1771417809004,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.171875,36.52995300292969,36.607181549072266,36.455562591552734,38.80864334106445,38.44656753540039,40,40,40,30.000001907348633,23.809524536132813,15.000000953674316,10,40,30.000001907348633,28.571430206298828,42.85714340209961,6.448476314544678,19327352832,0,11288051712,0
204,1771417809208,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.171875,36.52995300292969,36.607181549072266,36.455562591552734,38.80864334106445,38.44656753540039,20,15.000000953674316,28.571430206298828,14.285715103149414,5,5.263157844543457,9.523809432983398,30.000001907348633,23.809524536132813,26.3157901763916,26.3157901763916,6.448476314544678,19327352832,0,11288051712,0
203,1771417809414,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.171875,36.52995300292969,36.607181549072266,36.455562591552734,38.80864334106445,38.44656753540039,26.3157901763916,25,0,15.000000953674316,15.000000953674316,4.761904716491699,9.523809432983398,0,0,0,4.545454502105713,7.608834266662598,19327352832,0,11288051712,0
204,1771417809619,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.171875,36.52995300292969,36.607181549072266,36.455562591552734,38.80864334106445,38.44656753540039,19.047618865966797,9.523809432983398,19.047618865966797,4.761904716491699,0,0,0,4.761904716491699,0,0,0,7.608834266662598,19327352832,0,11314479104,0
202,1771417809825,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.15301513671875,37.91814422607422,37.98484420776367,40.841102600097656,39.20585632324219,15.000000953674316,25,0,14.285715103149414,9.090909004211426,4.761904716491699,0,0,0,0,0,7.608834266662598,19327352832,0,11314364416,0
203,1771417810030,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.15301513671875,37.91814422607422,37.98484420776367,40.841102600097656,39.20585632324219,15.000000953674316,14.285715103149414,0,5.555555820465088,0,4.761904716491699,0,0,0,0,0,7.608834266662598,19327352832,0,11236933632,0
199,1771417810235,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.15301513671875,37.91814422607422,37.98484420776367,40.841102600097656,39.20585632324219,23.809524536132813,20,0,13.636363983154297,4.761904716491699,0,5,0,0,0,0,7.608834266662598,19327352832,0,11234263040,0
204,1771417810435,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.15301513671875,37.91814422607422,37.98484420776367,40.841102600097656,39.20585632324219,15.000000953674316,15.000000953674316,0,5.263157844543457,0,0,0,0,0,0,0,9.826842308044434,19327352832,0,11277860864,0
