Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771430577699,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,41.73542404174805,42.090049743652344,41.91156768798828,44.21479797363281,44.07028579711914,100,NaN,0,0,0,0,0,0,0,NaN,0,7.030766010284424,19327352832,0,11154489344,0
204,1771430577699,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,41.73542404174805,42.090049743652344,41.91156768798828,44.21479797363281,44.07028579711914,0,50,NaN,50,NaN,NaN,0,0,0,0,0,7.030766010284424,19327352832,0,11154620416,0
204,1771430577904,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,41.87002944946289,42.24942398071289,42.115169525146484,44.675357818603516,44.13130187988281,15.789472579956055,10,57.142860412597656,5,9.090909004211426,4.761904716491699,0,4.761904716491699,61.904762268066406,47.619049072265625,0,7.030766010284424,19327352832,0,11172577280,0
204,1771430578109,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,41.87002944946289,42.24942398071289,42.115169525146484,44.675357818603516,44.13130187988281,42.105262756347656,21.052631378173828,80,15.000000953674316,10.526315689086914,9.523809432983398,5,70,90,75,73.68421173095703,7.030766010284424,19327352832,0,11172577280,0
204,1771430578314,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,41.87002944946289,42.24942398071289,42.115169525146484,44.675357818603516,44.13130187988281,50,26.3157901763916,95,31.57894515991211,23.809524536132813,15.789472579956055,14.285715103149414,90,95,95,95.23809814453125,7.076291084289551,19327352832,0,11172577280,0
204,1771430578519,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,41.87002944946289,42.24942398071289,42.115169525146484,44.675357818603516,44.13130187988281,31.57894515991211,30.000001907348633,65,20,25,20,15.000000953674316,75,70,95,65,7.076291084289551,19327352832,0,11159961600,0
204,1771430578724,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,41.87002944946289,42.24942398071289,42.115169525146484,44.675357818603516,44.13130187988281,14.285715103149414,5,0,4.761904716491699,0,4.761904716491699,0,0,0,61.904762268066406,0,7.076291084289551,19327352832,0,11159961600,0
201,1771430578931,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,50.3203010559082,50.27175521850586,49.76173782348633,56.377586364746094,48.024696350097656,52.6315803527832,38.095237731933594,0,5.263157844543457,4.761904716491699,0,0,0,0,0,0,7.076291084289551,19327352832,0,11159961600,0
202,1771430579132,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,50.3203010559082,50.27175521850586,49.76173782348633,56.377586364746094,48.024696350097656,23.809524536132813,15.000000953674316,9.523809432983398,9.523809432983398,15.789472579956055,5,0,0,5.263157844543457,0,0,7.076291084289551,19327352832,0,11159961600,0
201,1771430579337,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,50.3203010559082,50.27175521850586,49.76173782348633,56.377586364746094,48.024696350097656,15.789472579956055,19.047618865966797,23.809524536132813,10,0,0,4.761904716491699,0,13.636363983154297,10,0,15.30862808227539,19327352832,0,11160322048,0
