Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771430285322,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.725669860839844,40.999507904052734,40.80309295654297,43.182884216308594,43.178470611572266,0,0,0,0,0,0,0,0,0,0,0,5.699591636657715,19327352832,0,10027155456,0
204,1771430285323,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.725669860839844,40.999507904052734,40.80309295654297,43.182884216308594,43.178470611572266,100,100,0,0,NaN,0,0,0,0,0,0,5.699591636657715,19327352832,0,10027302912,0
203,1771430285528,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.725669860839844,40.999507904052734,40.80309295654297,43.182884216308594,43.178470611572266,19.047618865966797,25,4.761904716491699,10,4.761904716491699,0,0,38.095237731933594,55,35,57.142860412597656,5.699591636657715,19327352832,0,10095083520,0
199,1771430285731,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.725669860839844,40.999507904052734,40.80309295654297,43.182884216308594,43.178470611572266,63.15789031982422,50,78.94737243652344,42.105262756347656,35,25,23.809524536132813,80,85,76.19047546386719,80,5.699591636657715,19327352832,0,10128588800,0
203,1771430285932,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,45.3668327331543,45.45235824584961,44.35131072998047,50.227203369140625,44.9151611328125,89.47368621826172,83.33332824707031,95.23809814453125,77.77777862548828,72.22222137451172,60.000003814697266,52.6315803527832,100,95,100,100,5.699591636657715,19327352832,0,10128588800,0
203,1771430286136,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,45.3668327331543,45.45235824584961,44.35131072998047,50.227203369140625,44.9151611328125,55.55555725097656,52.6315803527832,89.47368621826172,47.619049072265625,42.105262756347656,36.842105865478516,30.000001907348633,89.47368621826172,90.47618865966797,90,90,5.699591636657715,19327352832,0,10352738304,0
201,1771430286340,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,45.3668327331543,45.45235824584961,44.35131072998047,50.227203369140625,44.9151611328125,33.333335876464844,16.666667938232422,84.21052551269531,11.111111640930176,10,10,5.263157844543457,80,83.33332824707031,85,80,6.160111427307129,19327352832,0,10631380992,0
200,1771430286541,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,45.3668327331543,45.45235824584961,44.35131072998047,50.227203369140625,44.9151611328125,33.333335876464844,26.3157901763916,83.33332824707031,15.789472579956055,15.789472579956055,10.526315689086914,5,84.21052551269531,90,88.8888931274414,84.21052551269531,6.160111427307129,19327352832,0,10636001280,0
203,1771430286742,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,45.3668327331543,45.45235824584961,44.35131072998047,50.227203369140625,44.9151611328125,33.333335876464844,26.3157901763916,78.94737243652344,21.052631378173828,15.789472579956055,10,5.263157844543457,83.33332824707031,88.8888931274414,85,88.8888931274414,6.160111427307129,19327352832,0,10636099584,0
202,1771430286946,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.765625,54.69350814819336,53.263633728027344,53.15251159667969,61.259239196777344,49.52846145629883,26.3157901763916,21.052631378173828,76.19047546386719,15.789472579956055,5.555555820465088,0,5,78.94737243652344,85.71428680419922,84.21052551269531,80,6.160111427307129,19327352832,0,10875109376,0
199,1771430287149,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.765625,54.69350814819336,53.263633728027344,53.15251159667969,61.259239196777344,49.52846145629883,33.333335876464844,27.77777862548828,83.33332824707031,21.052631378173828,26.3157901763916,25,15.789472579956055,90,84.21052551269531,83.33332824707031,84.21052551269531,6.160111427307129,19327352832,0,10966925312,0
