Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771431376497,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.171875,37.22649002075195,37.531497955322266,37.196903228759766,39.65896987915039,39.70426559448242,NaN,0,0,0,0,0,0,0,0,0,0,5.651088714599609,19327352832,0,11057315840,0
204,1771431376498,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.171875,37.22649002075195,37.531497955322266,37.196903228759766,39.65896987915039,39.70426559448242,50,100,0,NaN,NaN,NaN,NaN,0,0,0,NaN,5.651088714599609,19327352832,0,11056807936,0
204,1771431376702,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,35.171875,37.22649002075195,37.531497955322266,37.196903228759766,39.65896987915039,39.70426559448242,30.000001907348633,15.000000953674316,70,9.523809432983398,0,0,4.545454502105713,30.000001907348633,57.142860412597656,20,0,5.651088714599609,19327352832,0,11071913984,0
204,1771431376907,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.265625,39.49461364746094,39.797218322753906,39.766265869140625,43.41437911987305,40.45328140258789,25,15.000000953674316,75,9.523809432983398,9.523809432983398,5,5,75,85,80,65,5.651088714599609,19327352832,0,11071913984,0
204,1771431377112,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.265625,39.49461364746094,39.797218322753906,39.766265869140625,43.41437911987305,40.45328140258789,29.411766052246094,15.789472579956055,94.73684692382813,5.555555820465088,5.263157844543457,5,0,90.47618865966797,94.73684692382813,85,90,5.651088714599609,19327352832,0,11071913984,0
204,1771431377317,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.265625,39.49461364746094,39.797218322753906,39.766265869140625,43.41437911987305,40.45328140258789,21.052631378173828,25,61.904762268066406,10.526315689086914,10,5.263157844543457,10,60.000003814697266,61.904762268066406,94.44444274902344,60.000003814697266,6.00680685043335,19327352832,0,11213307904,0
204,1771431377522,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.265625,39.49461364746094,39.797218322753906,39.766265869140625,43.41437911987305,40.45328140258789,20,15.000000953674316,10,9.523809432983398,0,0,5,5.263157844543457,19.047618865966797,27.272727966308594,0,6.00680685043335,19327352832,0,11213307904,0
203,1771431377728,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.265625,39.49461364746094,39.797218322753906,39.766265869140625,43.41437911987305,40.45328140258789,13.636363983154297,5,0,9.523809432983398,0,0,4.761904716491699,0,0,0,0,6.00680685043335,19327352832,0,11213307904,0
203,1771431377933,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.1875,44.41350555419922,43.92249298095703,43.79820251464844,48.81220245361328,43.26767349243164,10,9.523809432983398,0,0,0,0,0,0,0,0,0,6.00680685043335,19327352832,0,11213307904,0
200,1771431378138,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.1875,44.41350555419922,43.92249298095703,43.79820251464844,48.81220245361328,43.26767349243164,9.523809432983398,5,0,5,4.761904716491699,0,0,0,0,0,0,6.00680685043335,19327352832,0,11171479552,0
