Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771346033302,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.5,42.4937858581543,42.847042083740234,42.61149597167969,45.028968811035156,44.996337890625,NaN,0,0,0,0,0,0,0,0,0,0,5.608798503875732,19327352832,0,10569629696,0
204,1771346033303,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.5,42.4937858581543,42.847042083740234,42.61149597167969,45.028968811035156,44.996337890625,0,100,0,NaN,100,0,NaN,NaN,NaN,0,0,5.608798503875732,19327352832,0,10569629696,0
204,1771346033507,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.671875,42.843162536621094,43.29936218261719,43.05340576171875,45.88402557373047,45.13054275512695,20,15.000000953674316,42.85714340209961,5,0,4.761904716491699,0,28.571430206298828,52.38095474243164,50,0,5.608798503875732,19327352832,0,10569629696,0
204,1771346033713,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.671875,42.843162536621094,43.29936218261719,43.05340576171875,45.88402557373047,45.13054275512695,57.894737243652344,55,80,42.105262756347656,40,25,20,90,78.94737243652344,85,72.7272720336914,5.608798503875732,19327352832,0,10569629696,0
204,1771346033917,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.671875,42.843162536621094,43.29936218261719,43.05340576171875,45.88402557373047,45.13054275512695,90,84.21052551269531,100,80.95238494873047,68.42105102539063,61.11111068725586,47.36842346191406,95.23809814453125,95.45454406738281,95,100,5.59629487991333,19327352832,0,10569629696,0
201,1771346034122,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.671875,42.843162536621094,43.29936218261719,43.05340576171875,45.88402557373047,45.13054275512695,42.105262756347656,33.333335876464844,89.47368621826172,27.77777862548828,26.3157901763916,20,10,90,89.47368621826172,89.47368621826172,78.94737243652344,5.59629487991333,19327352832,0,10926555136,0
204,1771346034324,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.671875,42.843162536621094,43.29936218261719,43.05340576171875,45.88402557373047,45.13054275512695,27.77777862548828,21.052631378173828,85,11.111111640930176,20,0,10,78.94737243652344,83.33332824707031,84.21052551269531,78.94737243652344,5.59629487991333,19327352832,0,11171430400,0
204,1771346034529,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.453125,56.04171371459961,54.61625671386719,54.40631103515625,62.781097412109375,50.3619270324707,35.29411697387695,26.3157901763916,84.21052551269531,25,15.789472579956055,5.263157844543457,0,83.33332824707031,90.47618865966797,90,83.33332824707031,5.59629487991333,19327352832,0,11183603712,0
204,1771346034734,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.453125,56.04171371459961,54.61625671386719,54.40631103515625,62.781097412109375,50.3619270324707,31.57894515991211,22.22222328186035,85,16.666667938232422,15.789472579956055,15.000000953674316,5.263157844543457,84.21052551269531,89.47368621826172,83.33332824707031,84.21052551269531,5.59629487991333,19327352832,0,11149606912,0
204,1771346034939,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.453125,56.04171371459961,54.61625671386719,54.40631103515625,62.781097412109375,50.3619270324707,15.789472579956055,15.789472579956055,78.94737243652344,10,10.526315689086914,10,5,75,80,76.19047546386719,76.19047546386719,17.126506805419922,19327352832,0,11385110528,0
204,1771346035144,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.453125,56.04171371459961,54.61625671386719,54.40631103515625,62.781097412109375,50.3619270324707,16.666667938232422,10.526315689086914,80,5.263157844543457,9.523809432983398,0,5,78.94737243652344,83.33332824707031,84.21052551269531,83.33332824707031,17.126506805419922,19327352832,0,11745738752,0
204,1771346035349,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.453125,56.04171371459961,54.61625671386719,54.40631103515625,62.781097412109375,50.3619270324707,31.57894515991211,25,83.33332824707031,15.789472579956055,11.111111640930176,15.000000953674316,9.523809432983398,78.94737243652344,85.71428680419922,80,75,17.126506805419922,19327352832,0,11653234688,0
204,1771346035554,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.734375,55.44310760498047,54.439178466796875,54.290889739990234,61.92110061645508,51.05392074584961,16.666667938232422,5.555555820465088,85.71428680419922,10,5,0,0,84.21052551269531,84.21052551269531,88.8888931274414,77.77777862548828,17.126506805419922,19327352832,0,11649302528,0
204,1771346035759,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.734375,55.44310760498047,54.439178466796875,54.290889739990234,61.92110061645508,51.05392074584961,31.57894515991211,26.3157901763916,94.73684692382813,21.052631378173828,15.000000953674316,10,5,78.94737243652344,78.94737243652344,80,80,17.126506805419922,19327352832,0,11649302528,0
204,1771346035964,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.734375,55.44310760498047,54.439178466796875,54.290889739990234,61.92110061645508,51.05392074584961,16.666667938232422,10.526315689086914,85,5.263157844543457,5.263157844543457,5,5,78.94737243652344,84.21052551269531,89.47368621826172,77.77777862548828,25.54320526123047,19327352832,0,11649302528,0
204,1771346036169,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.734375,55.44310760498047,54.439178466796875,54.290889739990234,61.92110061645508,51.05392074584961,50,45,85,42.85714340209961,42.85714340209961,25,20,80,84.21052551269531,80,78.94737243652344,25.54320526123047,19327352832,0,11574689792,0
204,1771346036373,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.734375,55.44310760498047,54.439178466796875,54.290889739990234,61.92110061645508,51.05392074584961,15.789472579956055,5.263157844543457,82.35294342041016,0,0,5,0,72.22222137451172,77.77777862548828,83.33332824707031,72.22222137451172,25.54320526123047,19327352832,0,11574362112,0
204,1771346036578,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,55.65488052368164,54.39747619628906,54.74449920654297,61.38744354248047,51.327369689941406,5.263157844543457,5,73.68421173095703,5,0,4.761904716491699,9.090909004211426,72.22222137451172,66.66667175292969,78.94737243652344,65,25.54320526123047,19327352832,0,11572592640,0
204,1771346036783,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,55.65488052368164,54.39747619628906,54.74449920654297,61.38744354248047,51.327369689941406,5.263157844543457,5.263157844543457,68.42105102539063,0,4.761904716491699,0,0,66.66667175292969,73.68421173095703,72.22222137451172,68.42105102539063,25.54320526123047,19327352832,0,11573608448,0
204,1771346036988,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,55.65488052368164,54.39747619628906,54.74449920654297,61.38744354248047,51.327369689941406,0,0,50,0,0,0,0,45,55.55555725097656,63.15789031982422,72.22222137451172,24.54637908935547,19327352832,0,11532435456,0
204,1771346037193,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,55.65488052368164,54.39747619628906,54.74449920654297,61.38744354248047,51.327369689941406,19.047618865966797,22.72727394104004,20,18.18181800842285,10,9.523809432983398,0,23.809524536132813,23.809524536132813,23.809524536132813,100,24.54637908935547,19327352832,0,11769921536,0
204,1771346037398,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,55.65488052368164,54.39747619628906,54.74449920654297,61.38744354248047,51.327369689941406,9.523809432983398,0,0,0,0,0,0,0,0,0,100,24.54637908935547,19327352832,0,12010815488,0
