Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772021047004,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.34272766113281,39.54376220703125,39.367801666259766,41.86520004272461,41.69429397583008,0,50,0,0,50,0,0,0,0,0,0,3.1749653816223145,19327352832,0,10424500224,0
204,1772021047005,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.34272766113281,39.54376220703125,39.367801666259766,41.86520004272461,41.69429397583008,NaN,NaN,0,0,0,0,0,0,0,0,NaN,3.1749653816223145,19327352832,0,10424614912,0
204,1772021047210,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.34272766113281,39.54376220703125,39.367801666259766,41.86520004272461,41.69429397583008,30.000001907348633,25,35,20,10.526315689086914,5.263157844543457,9.523809432983398,35,20,20,45,3.1749653816223145,19327352832,0,10424614912,0
204,1772021047415,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.34272766113281,39.54376220703125,39.367801666259766,41.86520004272461,41.69429397583008,19.047618865966797,15.000000953674316,33.333335876464844,10,9.523809432983398,5,5,35,35,35,38.095237731933594,3.0721890926361084,19327352832,0,10424614912,0
204,1772021047620,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.34272766113281,39.54376220703125,39.367801666259766,41.86520004272461,41.69429397583008,5,9.090909004211426,30.000001907348633,0,0,0,0,18.18181800842285,33.333335876464844,30.000001907348633,30.000001907348633,3.0721890926361084,19327352832,0,10424614912,0
204,1772021047825,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.34272766113281,39.54376220703125,39.367801666259766,41.86520004272461,41.69429397583008,9.523809432983398,5.263157844543457,14.285715103149414,4.761904716491699,0,0,0,10.526315689086914,10,13.636363983154297,9.523809432983398,3.0721890926361084,19327352832,0,10708549632,0
199,1772021048032,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.984375,43.02585983276367,42.81032943725586,42.83591842651367,46.656429290771484,43.428070068359375,20,14.285715103149414,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,0,5,3.0721890926361084,19327352832,0,10696343552,0
202,1772021048234,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.984375,43.02585983276367,42.81032943725586,42.83591842651367,46.656429290771484,43.428070068359375,25,10.526315689086914,0,5.263157844543457,5,4.761904716491699,0,4.761904716491699,0,0,0,3.0721890926361084,19327352832,0,10692460544,0
200,1772021048438,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.984375,43.02585983276367,42.81032943725586,42.83591842651367,46.656429290771484,43.428070068359375,35,20,0,13.636363983154297,5,0,4.545454502105713,0,0,0,0,7.46657133102417,19327352832,0,10692476928,0
202,1772021048642,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.984375,43.02585983276367,42.81032943725586,42.83591842651367,46.656429290771484,43.428070068359375,35,23.809524536132813,0,5.263157844543457,5,0,0,0,0,0,0,7.46657133102417,19327352832,0,10663411712,0
