Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772021912151,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.09375,46.84678268432617,46.98615264892578,46.846641540527344,49.33760070800781,49.263919830322266,0,0,0,0,0,0,0,0,0,0,0,3.233757257461548,19327352832,0,10250797056,0
199,1772021912151,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.09375,46.84678268432617,46.98615264892578,46.846641540527344,49.33760070800781,49.263919830322266,50,NaN,0,100,NaN,NaN,0,NaN,0,0,NaN,3.233757257461548,19327352832,0,10250911744,0
203,1772021912351,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.09375,46.84678268432617,46.98615264892578,46.846641540527344,49.33760070800781,49.263919830322266,31.57894515991211,33.333335876464844,20,10.526315689086914,10,10,5.263157844543457,30.000001907348633,28.571430206298828,35,40,3.233757257461548,19327352832,0,10250911744,0
200,1772021912555,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.09375,46.84678268432617,46.98615264892578,46.846641540527344,49.33760070800781,49.263919830322266,38.095237731933594,15.000000953674316,20,52.38095474243164,10.526315689086914,9.523809432983398,10,75,15.789472579956055,28.571430206298828,20,3.1826765537261963,19327352832,0,10250911744,0
204,1772021912756,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.09375,46.84678268432617,46.98615264892578,46.846641540527344,49.33760070800781,49.263919830322266,0,5.263157844543457,0,0,4.761904716491699,0,5,100,0,0,9.523809432983398,3.1826765537261963,19327352832,0,10250911744,0
204,1772021912961,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.21875,56.16155242919922,50.99211502075195,51.2782096862793,55.44194030761719,50.957313537597656,4.761904716491699,4.761904716491699,0,0,0,0,0,100,0,9.523809432983398,0,3.1826765537261963,19327352832,0,10351525888,0
204,1772021913166,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.21875,56.16155242919922,50.99211502075195,51.2782096862793,55.44194030761719,50.957313537597656,9.523809432983398,0,0,9.090909004211426,0,0,0,100,0,0,0,3.1826765537261963,19327352832,0,10351525888,0
204,1772021913371,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.21875,56.16155242919922,50.99211502075195,51.2782096862793,55.44194030761719,50.957313537597656,0,9.523809432983398,0,0,0,0,0,100,0,4.545454502105713,0,3.1826765537261963,19327352832,0,10350280704,0
204,1772021913576,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.21875,56.16155242919922,50.99211502075195,51.2782096862793,55.44194030761719,50.957313537597656,5,9.523809432983398,0,0,4.545454502105713,0,0,100,4.545454502105713,0,0,7.122411251068115,19327352832,0,10307207168,0
204,1772021913781,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.21875,56.16155242919922,50.99211502075195,51.2782096862793,55.44194030761719,50.957313537597656,4.761904716491699,5,0,0,0,0,0,100,4.761904716491699,0,0,7.122411251068115,19327352832,0,10307076096,0
