Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772022144314,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.8125,53.67685317993164,53.86940383911133,53.644935607910156,56.064476013183594,56.030826568603516,0,100,0,0,0,0,0,0,0,0,0,2.9917845726013184,19327352832,0,10327539712,0
202,1772022144315,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.8125,53.67685317993164,53.86940383911133,53.644935607910156,56.064476013183594,56.030826568603516,100,100,NaN,50,NaN,NaN,0,NaN,0,0,0,2.9917845726013184,19327352832,0,10327539712,0
199,1772022144517,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.8125,53.67685317993164,53.86940383911133,53.644935607910156,56.064476013183594,56.030826568603516,31.57894515991211,40,20,16.666667938232422,15.000000953674316,5.263157844543457,5.263157844543457,33.333335876464844,42.85714340209961,25,35,3.107335329055786,19327352832,0,10327539712,0
200,1772022144717,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.8125,53.67685317993164,53.86940383911133,53.644935607910156,56.064476013183594,56.030826568603516,68.42105102539063,68.42105102539063,70,61.11111068725586,61.11111068725586,57.894737243652344,57.894737243652344,80,78.94737243652344,70,73.68421173095703,3.107335329055786,19327352832,0,10327539712,0
201,1772022144918,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,51.8125,53.67685317993164,53.86940383911133,53.644935607910156,56.064476013183594,56.030826568603516,94.44444274902344,94.44444274902344,100,94.73684692382813,89.47368621826172,94.44444274902344,88.8888931274414,94.73684692382813,100,100,100,3.107335329055786,19327352832,0,10327539712,0
200,1772022145119,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,62.0625,62.84648895263672,61.95745086669922,61.642601013183594,68.01998138427734,59.09029769897461,94.73684692382813,94.44444274902344,95,94.44444274902344,94.11764526367188,94.11764526367188,94.11764526367188,100,95,95,100,3.107335329055786,19327352832,0,10462445568,0
199,1772022145320,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,62.0625,62.84648895263672,61.95745086669922,61.642601013183594,68.01998138427734,59.09029769897461,100,100,100,100,100,100,100,100,100,100,100,3.107335329055786,19327352832,0,10398253056,0
199,1772022145520,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,62.0625,62.84648895263672,61.95745086669922,61.642601013183594,68.01998138427734,59.09029769897461,100,100,100,100,100,100,100,100,100,100,100,5.794044017791748,19327352832,0,10398253056,0
204,1772022145720,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,62.0625,62.84648895263672,61.95745086669922,61.642601013183594,68.01998138427734,59.09029769897461,100,100,100,100,100,100,95.23809814453125,100,100,100,95,5.794044017791748,19327352832,0,10398253056,0
5,1772022145925,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,62.0625,62.84648895263672,61.95745086669922,61.642601013183594,68.01998138427734,59.09029769897461,66.66667175292969,65,70,57.894737243652344,61.11111068725586,57.894737243652344,57.894737243652344,66.66667175292969,66.66667175292969,70,70,5.794044017791748,19327352832,0,10398253056,0
