Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772021483471,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.10734176635742,40.23719024658203,40.10694885253906,42.60926818847656,42.378578186035156,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,100,3.2850000858306885,19327352832,0,10508894208,0
204,1772021483471,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.10734176635742,40.23719024658203,40.10694885253906,42.60926818847656,42.378578186035156,0,0,NaN,0,0,50,0,50,NaN,NaN,0,3.2850000858306885,19327352832,0,10508894208,0
201,1772021483676,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.10734176635742,40.23719024658203,40.10694885253906,42.60926818847656,42.378578186035156,25,15.000000953674316,55,10,5,0,0,52.38095474243164,60.000003814697266,42.85714340209961,55,3.2850000858306885,19327352832,0,10508894208,0
204,1772021483878,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.10734176635742,40.23719024658203,40.10694885253906,42.60926818847656,42.378578186035156,50,35,85,21.052631378173828,15.000000953674316,10,9.523809432983398,78.94737243652344,78.94737243652344,68.42105102539063,80,3.2850000858306885,19327352832,0,10665574400,0
204,1772021484083,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,45.12240982055664,44.829559326171875,44.590187072753906,49.58367919921875,44.24436950683594,27.77777862548828,16.666667938232422,80,15.000000953674316,10.526315689086914,10,5.263157844543457,80,80.95238494873047,85,85,3.2850000858306885,19327352832,0,10665574400,0
197,1772021484291,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,45.12240982055664,44.829559326171875,44.590187072753906,49.58367919921875,44.24436950683594,5,0,0,0,0,0,0,0,0,0,0,3.2850000858306885,19327352832,0,10665574400,0
202,1772021484490,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,45.12240982055664,44.829559326171875,44.590187072753906,49.58367919921875,44.24436950683594,15.000000953674316,66.66667175292969,0,10,5,0,0,0,0,0,0,7.250880241394043,19327352832,0,10665574400,0
200,1772021484694,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,45.12240982055664,44.829559326171875,44.590187072753906,49.58367919921875,44.24436950683594,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,7.250880241394043,19327352832,0,10665574400,0
204,1772021484895,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,45.12240982055664,44.829559326171875,44.590187072753906,49.58367919921875,44.24436950683594,10.526315689086914,0,4.761904716491699,5,0,0,0,0,0,0,0,7.250880241394043,19327352832,0,10715807744,0
200,1772021485101,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.84375,42.827693939208984,42.69717025756836,42.578880310058594,45.74421310424805,44.08089828491211,33.333335876464844,25,0,20,5,9.090909004211426,4.761904716491699,0,0,0,4.761904716491699,7.250880241394043,19327352832,0,10661560320,0
