Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772022011680,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,50.63249969482422,50.894920349121094,50.65230941772461,53.287837982177734,53.153160095214844,0,0,0,0,0,0,0,0,0,0,0,3.126955986022949,19327352832,0,10269736960,0
204,1772022011681,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,50.63249969482422,50.894920349121094,50.65230941772461,53.287837982177734,53.153160095214844,NaN,50,0,NaN,0,NaN,NaN,0,0,0,NaN,3.126955986022949,19327352832,0,10269818880,0
204,1772022011886,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,48.6875,50.63249969482422,50.894920349121094,50.65230941772461,53.287837982177734,53.153160095214844,14.285715103149414,10.526315689086914,45,9.090909004211426,0,0,0,25,50,15.000000953674316,42.85714340209961,3.126955986022949,19327352832,0,10337026048,0
204,1772022012090,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.53125,51.86097717285156,52.18495178222656,51.95631790161133,55.41945266723633,53.4874382019043,50,40,80,31.57894515991211,31.57894515991211,21.052631378173828,25,75,75,71.42857360839844,85,3.126955986022949,19327352832,0,10395435008,0
204,1772022012295,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.53125,51.86097717285156,52.18495178222656,51.95631790161133,55.41945266723633,53.4874382019043,55.55555725097656,44.4444465637207,94.73684692382813,38.88888931274414,33.333335876464844,36.842105865478516,27.77777862548828,89.47368621826172,95,89.47368621826172,94.73684692382813,3.126955986022949,19327352832,0,10424664064,0
204,1772022012501,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.53125,51.86097717285156,52.18495178222656,51.95631790161133,55.41945266723633,53.4874382019043,55.55555725097656,50,94.73684692382813,41.17647171020508,36.842105865478516,33.333335876464844,33.333335876464844,90,94.73684692382813,88.8888931274414,94.73684692382813,3.4080889225006104,19327352832,0,10424664064,0
204,1772022012706,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.53125,51.86097717285156,52.18495178222656,51.95631790161133,55.41945266723633,53.4874382019043,58.82353210449219,44.4444465637207,90,42.105262756347656,38.88888931274414,35.29411697387695,27.77777862548828,89.47368621826172,94.44444274902344,90,94.44444274902344,3.4080889225006104,19327352832,0,10424664064,0
204,1772022012911,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,52.53125,51.86097717285156,52.18495178222656,51.95631790161133,55.41945266723633,53.4874382019043,52.6315803527832,47.36842346191406,94.73684692382813,38.88888931274414,35.29411697387695,33.333335876464844,33.333335876464844,89.47368621826172,94.73684692382813,85,90.47618865966797,3.4080889225006104,19327352832,0,10468425728,0
204,1772022013116,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.18117904663086,61.046119689941406,61.13446044921875,68.06533813476563,57.85992431640625,57.894737243652344,41.17647171020508,94.73684692382813,44.4444465637207,38.88888931274414,33.333335876464844,27.77777862548828,94.73684692382813,89.47368621826172,89.47368621826172,94.73684692382813,3.4080889225006104,19327352832,0,10405380096,0
200,1772022013321,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.18117904663086,61.046119689941406,61.13446044921875,68.06533813476563,57.85992431640625,57.894737243652344,47.36842346191406,94.44444274902344,41.17647171020508,36.842105865478516,33.333335876464844,31.57894515991211,89.47368621826172,95,89.47368621826172,94.44444274902344,3.4080889225006104,19327352832,0,10360324096,0
204,1772022013521,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.18117904663086,61.046119689941406,61.13446044921875,68.06533813476563,57.85992431640625,56.25,47.05882263183594,94.73684692382813,42.105262756347656,35.29411697387695,33.333335876464844,29.411766052246094,89.47368621826172,94.44444274902344,89.47368621826172,94.73684692382813,14.394364356994629,19327352832,0,10360307712,0
204,1772022013726,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.18117904663086,61.046119689941406,61.13446044921875,68.06533813476563,57.85992431640625,55,47.36842346191406,94.44444274902344,44.4444465637207,38.88888931274414,38.88888931274414,38.88888931274414,89.47368621826172,94.73684692382813,89.47368621826172,94.44444274902344,14.394364356994629,19327352832,0,10367959040,0
204,1772022013931,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.18117904663086,61.046119689941406,61.13446044921875,68.06533813476563,57.85992431640625,55.55555725097656,41.17647171020508,90,38.88888931274414,38.88888931274414,33.333335876464844,31.57894515991211,94.44444274902344,94.73684692382813,89.47368621826172,95,14.394364356994629,19327352832,0,10367959040,0
199,1772022014136,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.40726852416992,61.21699905395508,61.169559478759766,68.06881713867188,58.496734619140625,55.55555725097656,50,94.73684692382813,44.4444465637207,36.842105865478516,33.333335876464844,29.411766052246094,89.47368621826172,94.44444274902344,89.47368621826172,94.44444274902344,14.394364356994629,19327352832,0,10367647744,0
203,1772022014336,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.40726852416992,61.21699905395508,61.169559478759766,68.06881713867188,58.496734619140625,55.55555725097656,44.4444465637207,94.44444274902344,35.29411697387695,35.29411697387695,33.333335876464844,27.77777862548828,89.47368621826172,94.44444274902344,88.8888931274414,90,14.394364356994629,19327352832,0,10344857600,0
202,1772022014541,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.40726852416992,61.21699905395508,61.169559478759766,68.06881713867188,58.496734619140625,55.55555725097656,41.17647171020508,94.73684692382813,44.4444465637207,38.88888931274414,35.29411697387695,33.333335876464844,89.47368621826172,90.47618865966797,89.47368621826172,94.44444274902344,19.502674102783203,19327352832,0,10344808448,0
204,1772022014744,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,54.921875,62.40726852416992,61.21699905395508,61.169559478759766,68.06881713867188,58.496734619140625,58.82353210449219,50,94.73684692382813,38.88888931274414,38.88888931274414,33.333335876464844,27.77777862548828,94.73684692382813,94.44444274902344,90,94.44444274902344,19.502674102783203,19327352832,0,10344873984,0
204,1772022014949,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.15625,62.851829528808594,61.605899810791016,61.47228240966797,68.45342254638672,58.87005615234375,55.55555725097656,47.36842346191406,94.44444274902344,44.4444465637207,35.29411697387695,36.842105865478516,33.333335876464844,90,94.73684692382813,89.47368621826172,95,19.502674102783203,19327352832,0,10345463808,0
204,1772022015154,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.15625,62.851829528808594,61.605899810791016,61.47228240966797,68.45342254638672,58.87005615234375,65,55.55555725097656,95,50,52.6315803527832,50,47.36842346191406,89.47368621826172,94.73684692382813,89.47368621826172,94.44444274902344,19.502674102783203,19327352832,0,10345889792,0
201,1772022015359,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.15625,62.851829528808594,61.605899810791016,61.47228240966797,68.45342254638672,58.87005615234375,55.55555725097656,44.4444465637207,89.47368621826172,42.105262756347656,38.88888931274414,33.333335876464844,33.333335876464844,89.47368621826172,94.73684692382813,89.47368621826172,95,19.502674102783203,19327352832,0,10345889792,0
204,1772022015561,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.15625,62.851829528808594,61.605899810791016,61.47228240966797,68.45342254638672,58.87005615234375,55.55555725097656,50,94.73684692382813,41.17647171020508,33.333335876464844,35.29411697387695,29.411766052246094,94.44444274902344,94.44444274902344,85,94.44444274902344,19.62311363220215,19327352832,0,10345889792,0
204,1772022015766,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.15625,62.851829528808594,61.605899810791016,61.47228240966797,68.45342254638672,58.87005615234375,58.82353210449219,41.17647171020508,94.73684692382813,38.88888931274414,38.88888931274414,33.333335876464844,31.57894515991211,89.47368621826172,95,89.47368621826172,94.73684692382813,19.62311363220215,19327352832,0,10345889792,0
204,1772022015971,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.02053451538086,62.02093505859375,61.76948165893555,68.80422973632813,58.912071228027344,55.55555725097656,47.36842346191406,94.73684692382813,38.88888931274414,38.88888931274414,33.333335876464844,29.411766052246094,89.47368621826172,94.44444274902344,89.47368621826172,89.47368621826172,19.62311363220215,19327352832,0,10344726528,0
204,1772022016176,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.02053451538086,62.02093505859375,61.76948165893555,68.80422973632813,58.912071228027344,55.55555725097656,47.05882263183594,94.44444274902344,44.4444465637207,35.29411697387695,33.333335876464844,31.57894515991211,90.47618865966797,90,89.47368621826172,95,19.62311363220215,19327352832,0,10344710144,0
204,1772022016381,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.02053451538086,62.02093505859375,61.76948165893555,68.80422973632813,58.912071228027344,55.55555725097656,47.36842346191406,95,38.88888931274414,38.88888931274414,36.842105865478516,33.333335876464844,94.44444274902344,94.44444274902344,89.47368621826172,94.73684692382813,19.62311363220215,19327352832,0,10344677376,0
204,1772022016586,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.02053451538086,62.02093505859375,61.76948165893555,68.80422973632813,58.912071228027344,57.894737243652344,44.4444465637207,94.44444274902344,44.4444465637207,33.333335876464844,33.333335876464844,27.77777862548828,89.47368621826172,95,89.47368621826172,94.44444274902344,19.87160301208496,19327352832,0,10344644608,0
204,1772022016790,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.02053451538086,62.02093505859375,61.76948165893555,68.80422973632813,58.912071228027344,55.55555725097656,44.4444465637207,90,38.88888931274414,42.105262756347656,33.333335876464844,33.333335876464844,89.47368621826172,94.44444274902344,89.47368621826172,94.73684692382813,19.87160301208496,19327352832,0,10344644608,0
204,1772022016995,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.074134826660156,62.086997985839844,61.95801544189453,68.88268280029297,58.981605529785156,55.55555725097656,50,94.73684692382813,44.4444465637207,35.29411697387695,35.29411697387695,27.77777862548828,89.47368621826172,94.73684692382813,90,94.44444274902344,19.87160301208496,19327352832,0,10344448000,0
204,1772022017200,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.074134826660156,62.086997985839844,61.95801544189453,68.88268280029297,58.981605529785156,55.55555725097656,44.4444465637207,94.73684692382813,38.88888931274414,35.29411697387695,33.333335876464844,31.57894515991211,90,94.44444274902344,89.47368621826172,90.47618865966797,19.87160301208496,19327352832,0,10344513536,0
204,1772022017405,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.074134826660156,62.086997985839844,61.95801544189453,68.88268280029297,58.981605529785156,57.894737243652344,47.05882263183594,94.44444274902344,44.4444465637207,42.105262756347656,33.333335876464844,29.411766052246094,94.44444274902344,94.73684692382813,89.47368621826172,94.44444274902344,19.87160301208496,19327352832,0,10342350848,0
204,1772022017610,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.074134826660156,62.086997985839844,61.95801544189453,68.88268280029297,58.981605529785156,55.55555725097656,44.4444465637207,94.73684692382813,42.105262756347656,35.29411697387695,33.333335876464844,31.57894515991211,89.47368621826172,90.47618865966797,89.47368621826172,95,19.596242904663086,19327352832,0,10339139584,0
204,1772022017815,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.390625,63.074134826660156,62.086997985839844,61.95801544189453,68.88268280029297,58.981605529785156,55.55555725097656,47.36842346191406,94.73684692382813,41.17647171020508,38.88888931274414,38.88888931274414,33.333335876464844,90,94.44444274902344,89.47368621826172,94.44444274902344,19.596242904663086,19327352832,0,10339287040,0
204,1772022018020,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.109375,63.329750061035156,62.174720764160156,62.13922119140625,69.25581359863281,59.31187057495117,58.82353210449219,50,94.73684692382813,42.105262756347656,42.105262756347656,36.842105865478516,33.333335876464844,89.47368621826172,94.73684692382813,89.47368621826172,94.73684692382813,19.596242904663086,19327352832,0,10337370112,0
201,1772022018225,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.109375,63.329750061035156,62.174720764160156,62.13922119140625,69.25581359863281,59.31187057495117,57.894737243652344,50,90,41.17647171020508,35.29411697387695,33.333335876464844,29.411766052246094,94.44444274902344,95,89.47368621826172,94.44444274902344,19.596242904663086,19327352832,0,10337402880,0
203,1772022018426,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.109375,63.329750061035156,62.174720764160156,62.13922119140625,69.25581359863281,59.31187057495117,55.55555725097656,41.17647171020508,94.44444274902344,41.17647171020508,42.105262756347656,35.29411697387695,33.333335876464844,89.47368621826172,94.44444274902344,89.47368621826172,95,19.613811492919922,19327352832,0,10337353728,0
204,1772022018630,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.109375,63.329750061035156,62.174720764160156,62.13922119140625,69.25581359863281,59.31187057495117,55.55555725097656,44.4444465637207,94.44444274902344,42.105262756347656,33.333335876464844,33.333335876464844,31.57894515991211,90,94.44444274902344,85,94.44444274902344,19.613811492919922,19327352832,0,10337386496,0
204,1772022018835,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,56.109375,63.329750061035156,62.174720764160156,62.13922119140625,69.25581359863281,59.31187057495117,55.55555725097656,50,95,41.17647171020508,35.29411697387695,33.333335876464844,29.411766052246094,89.47368621826172,94.73684692382813,89.47368621826172,90,19.613811492919922,19327352832,0,10337386496,0
204,1772022019041,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.875,63.455711364746094,62.35576629638672,62.318851470947266,69.38837432861328,59.39781951904297,57.894737243652344,41.17647171020508,94.44444274902344,42.105262756347656,38.88888931274414,33.333335876464844,31.57894515991211,94.44444274902344,90,89.47368621826172,94.73684692382813,19.613811492919922,19327352832,0,10337452032,0
204,1772022019245,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,55.875,63.455711364746094,62.35576629638672,62.318851470947266,69.38837432861328,59.39781951904297,55.55555725097656,47.36842346191406,94.73684692382813,38.88888931274414,36.842105865478516,35.29411697387695,33.333335876464844,89.47368621826172,94.73684692382813,89.47368621826172,94.44444274902344,19.613811492919922,19327352832,0,10337468416,0
