Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772015602612,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.84375,39.36982727050781,39.66893768310547,39.3663444519043,42.07335662841797,41.83993148803711,100,0,0,0,0,0,0,0,0,0,0,5.227047920227051,19327352832,0,11666915328,0
204,1772015602613,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.84375,39.36982727050781,39.66893768310547,39.3663444519043,42.07335662841797,41.83993148803711,NaN,100,0,100,NaN,0,NaN,0,0,0,0,5.227047920227051,19327352832,0,11666948096,0
204,1772015602817,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.84375,39.36982727050781,39.66893768310547,39.3663444519043,42.07335662841797,41.83993148803711,28.571430206298828,61.904762268066406,0,14.285715103149414,28.571430206298828,9.523809432983398,9.523809432983398,13.636363983154297,60.000003814697266,45,52.38095474243164,5.227047920227051,19327352832,0,11690737664,0
204,1772015603023,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.84375,39.36982727050781,39.66893768310547,39.3663444519043,42.07335662841797,41.83993148803711,60.000003814697266,57.894737243652344,60.000003814697266,36.842105865478516,35,15.789472579956055,19.047618865966797,68.42105102539063,76.19047546386719,85,75,4.9866108894348145,19327352832,0,11690737664,0
204,1772015603227,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.84375,39.36982727050781,39.66893768310547,39.3663444519043,42.07335662841797,41.83993148803711,68.42105102539063,65,100,55,45,40,36.842105865478516,95,95,94.73684692382813,95,4.9866108894348145,19327352832,0,11690737664,0
200,1772015603433,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.84375,39.36982727050781,39.66893768310547,39.3663444519043,42.07335662841797,41.83993148803711,60.000003814697266,52.6315803527832,94.73684692382813,47.36842346191406,47.36842346191406,40,35,90.47618865966797,94.73684692382813,95.23809814453125,95,4.9866108894348145,19327352832,0,11840618496,0
204,1772015603633,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,48.803199768066406,48.58769226074219,47.38191223144531,55.42936325073242,45.876976013183594,38.88888931274414,36.842105865478516,80,26.3157901763916,21.052631378173828,21.052631378173828,20,83.33332824707031,88.8888931274414,83.33332824707031,84.21052551269531,4.9866108894348145,19327352832,0,11840618496,0
204,1772015603838,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,48.803199768066406,48.58769226074219,47.38191223144531,55.42936325073242,45.876976013183594,42.85714340209961,35,77.77777862548828,30.000001907348633,30.000001907348633,25,16.666667938232422,84.21052551269531,85,84.21052551269531,85,4.9866108894348145,19327352832,0,11840618496,0
204,1772015604043,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,48.803199768066406,48.58769226074219,47.38191223144531,55.42936325073242,45.876976013183594,36.842105865478516,31.57894515991211,78.94737243652344,30.000001907348633,26.3157901763916,26.3157901763916,20,80,85,84.21052551269531,88.8888931274414,11.303675651550293,19327352832,0,11840618496,0
204,1772015604248,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,48.803199768066406,48.58769226074219,47.38191223144531,55.42936325073242,45.876976013183594,36.842105865478516,36.842105865478516,80,26.3157901763916,28.571430206298828,21.052631378173828,21.052631378173828,83.33332824707031,83.33332824707031,84.21052551269531,85.71428680419922,11.303675651550293,19327352832,0,11840618496,0
7,1772015604453,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.609375,48.803199768066406,48.58769226074219,47.38191223144531,55.42936325073242,45.876976013183594,50,38.095237731933594,15.000000953674316,30.000001907348633,5.263157844543457,19.047618865966797,9.523809432983398,15.000000953674316,19.047618865966797,23.809524536132813,20,11.303675651550293,19327352832,0,11654955008,0
